6
100
10
10
GNQ	0.208601559	0.137357036	0.161759877	0.19310404	0.211320158	0.185981436
HND	0.016742637	0.019387114	0.020205979	0.020022789	0.022064051	0.020700166
HRV	0.141262248	0.14039761	0.131258525	0.127839251	0.124828074	0.122874812
HTI	0.006040396	0.006694187	0.006505995	0.006587213	0.007314885	0.007408893
HUN	0.138674899	0.12813305	0.125985921	0.122944033	0.120580627	0.121858686
IDN	0.019365593	0.022555913	0.028648093	0.030506353	0.033496793	0.031403384
LAC	0.06747426	0.069819553	0.083797821	0.083955752	0.088781646	0.086938776
LAO	0.007883624	0.009238485	0.010916638	0.011128218	0.013282803	0.015006627
LBN	0.061228552	0.082142329	0.085126461	0.080400211	0.092094443	0.089712668
LBR	0.002057654	0.003000918	0.003175325	0.003313985	0.003902543	0.004105527
LBY	0.140943176	0.103798761	0.120317071	0.0499866	0.12547104	0.108116821
LCA	0.06028882	0.066671754	0.06819369	0.063243176	0.067930922	0.06622131
LCN	0.069997546	0.072575063	0.086739074	0.086920489	0.092253521	0.090435702
LKA	0.01790442	0.020422201	0.023333524	0.024931614	0.027557623	0.029638062
LSO	0.007350822	0.008525248	0.010529333	0.010775527	0.010703921	0.01017113
LTU	0.131868121	0.116290909	0.115229618	0.125090952	0.133672015	0.140330764
LUX	1	1	1	1	1	1
LVA	0.137477698	0.119945891	0.111285681	0.12157126	0.131546856	0.138987988
MAC	0.363145507	0.405641592	0.515724682	0.589618466	0.728108855	0.825700577
MAR	0.025135641	0.028403131	0.02744329	0.026764041	0.027352371	0.027945701
MDA	0.01507783	0.015144812	0.01586218	0.017327783	0.019302799	0.020237314
MDG	0.004199629	0.004141581	0.004026395	0.004012071	0.004196783	0.004183523
NOR	0.846273355	0.778893456	0.83704716	0.871216849	0.939758952	0.911747229
NPL	0.004248995	0.004824368	0.005792234	0.006102945	0.006593681	0.006272135
NZL	0.272273841	0.274465854	0.320596199	0.328582427	0.366872918	0.377936865
OMN	0.208778207	0.180375228	0.203415057	0.202078832	0.220563935	0.198157016
PAK	0.009053784	0.009798085	0.009947753	0.010659684	0.011812738	0.011524002
PAN	0.062256725	0.071179473	0.076163078	0.078207179	0.094154103	0.099731833
USA	0.430307239	0.46661136	0.470336556	0.437876303	0.485705672	0.479302923
